[GIN] 2021/01/21 - 11:16:00 | 200 |    3.320174ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    3.453155ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   72.972048ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   82.271163ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   78.904612ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   91.837444ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   84.561168ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   85.712286ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    84.83497ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   85.862736ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    7.583596ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   91.350325ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   11.390446ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   90.280423ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   91.038285ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   91.957147ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    93.02665ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    95.74977ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   12.101016ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   11.794414ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   99.802394ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   97.053173ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   98.729163ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  100.041132ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   19.367504ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   99.143884ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  101.053294ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   20.332714ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   100.55755ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   99.241869ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   23.128428ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  105.900619ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  105.459911ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   37.116035ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  104.746624ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  106.224281ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   106.86839ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  106.276188ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  106.072185ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  106.033015ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  107.024105ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  105.242635ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  107.392057ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   28.425096ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  107.056805ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   26.383197ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  108.027136ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  108.410043ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   27.595331ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   36.287872ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   31.814541ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   36.347483ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   34.567725ms |       127.0.0.1 | GET      "/goods/buyone"
